n,k,iters
2,1,91
2,2,90
2,3,23
2,4,30
2,5,88
2,7,18
2,8,26
2,9,85
2,10,51
2,11,73
2,15,77
2,20,53
2,25,81
2,30,336
2,45,32
2,50,3
2,70,91
2,100,3
3,1,91
3,2,52
3,3,16
3,4,27
3,5,29
3,7,46
3,8,33
3,9,42
3,10,67
3,11,41
3,15,23
3,20,85
3,25,38
3,30,66
3,45,24
3,50,152
3,70,33
3,100,46
4,1,91
4,2,35
4,3,18
4,4,39
4,5,34
4,7,23
4,8,33
4,9,85
4,10,47
4,11,44
4,15,32
4,20,78
4,25,39
4,30,23
4,45,87
4,50,37
4,70,86
4,100,34
5,1,92
5,2,71
5,3,15
5,4,27
5,5,26
5,7,36
5,8,31
5,9,100
5,10,99
5,11,46
5,15,42
5,20,83
5,25,28
5,30,22
5,45,35
5,50,60
5,70,86
5,100,75
6,1,92
6,2,21
6,3,17
6,4,80
6,5,27
6,7,20
6,8,23
6,9,33
6,10,25
6,11,25
6,15,30
6,20,83
6,25,34
6,30,61
6,45,39
6,50,38
6,70,81
6,100,61
7,1,92
7,2,40
7,3,17
7,4,30
7,5,84
7,7,26
7,8,24
7,9,82
7,10,94
7,11,44
7,15,27
7,20,31
7,25,20
7,30,46
7,45,34
7,50,34
7,70,78
7,100,31
8,1,92
8,2,48
8,3,15
8,4,37
8,5,87
8,7,19
8,8,37
8,9,66
8,10,84
8,11,32
8,15,26
8,20,31
8,25,35
8,30,32
8,45,61
8,50,38
8,70,49
8,100,34
9,1,92
9,2,39
9,3,16
9,4,30
9,5,20
9,7,20
9,8,27
9,9,91
9,10,81
9,11,23
9,15,26
9,20,97
9,25,22
9,30,24
9,45,38
9,50,27
9,70,64
9,100,52
10,1,92
10,2,33
10,3,16
10,4,23
10,5,90
10,7,26
10,8,26
10,9,82
10,10,81
10,11,31
10,15,22
10,20,93
10,25,22
10,30,38
10,45,31
10,50,26
10,70,51
10,100,26
