n,k,iters
2,1,2
2,2,7
2,3,10
2,4,10
2,5,11
2,7,12
2,8,9
2,9,17
2,10,14
2,11,21
2,15,12
2,20,33
2,25,49
2,30,14
2,45,11
2,50,102
2,70,13
2,100,41
3,1,2
3,2,13
3,3,13
3,4,15
3,5,23
3,7,22
3,8,16
3,9,16
3,10,15
3,11,18
3,15,12
3,20,13
3,25,18
3,30,61
3,45,16
3,50,56
3,70,96
3,100,29
4,1,2
4,2,11
4,3,12
4,4,19
4,5,17
4,7,13
4,8,20
4,9,23
4,10,15
4,11,16
4,15,13
4,20,26
4,25,19
4,30,29
4,45,62
4,50,21
4,70,31
4,100,19
5,1,2
5,2,9
5,3,17
5,4,20
5,5,15
5,7,15
5,8,17
5,9,15
5,10,18
5,11,14
5,15,16
5,20,16
5,25,19
5,30,15
5,45,36
5,50,78
5,70,39
5,100,20
6,1,2
6,2,10
6,3,15
6,4,18
6,5,15
6,7,18
6,8,15
6,9,16
6,10,18
6,11,21
6,15,15
6,20,20
6,25,15
6,30,17
6,45,22
6,50,14
6,70,23
6,100,22
7,1,2
7,2,10
7,3,14
7,4,13
7,5,16
7,7,15
7,8,20
7,9,22
7,10,17
7,11,23
7,15,15
7,20,16
7,25,23
7,30,17
7,45,17
7,50,20
7,70,28
7,100,24
8,1,2
8,2,11
8,3,13
8,4,16
8,5,16
8,7,17
8,8,23
8,9,16
8,10,21
8,11,18
8,15,16
8,20,22
8,25,20
8,30,16
8,45,24
8,50,18
8,70,16
8,100,26
9,1,2
9,2,10
9,3,14
9,4,17
9,5,16
9,7,17
9,8,20
9,9,19
9,10,22
9,11,30
9,15,23
9,20,22
9,25,18
9,30,23
9,45,16
9,50,26
9,70,19
9,100,21
10,1,2
10,2,10
10,3,13
10,4,14
10,5,17
10,7,18
10,8,17
10,9,15
10,10,19
10,11,15
10,15,22
10,20,13
10,25,26
10,30,18
10,45,25
10,50,23
10,70,26
10,100,20
