method,start,result x,result f(x),iterations
conjugate_dirs,"[0, 0]",[1. 1.],1.779867417404908e-29,2
conjugate_grad,"[0, 0]",[1.00009775 0.999999  ],9.847623102411507e-07,3
newton,"[0, 0]",[1.01962586 1.01962586],0.0003851745131522569,1000
conjugate_dirs,"[1, 1]",[1. 1.],0.0,0
conjugate_grad,"[1, 1]",[1. 1.],0.0,1
newton,"[1, 1]",[1.01964153 1.01964153],0.000385789786424828,1000
conjugate_dirs,"[-1, -1]",[1. 1.],4.930380657631324e-30,2
conjugate_grad,"[-1, -1]",[1.0004062  1.00041023],1.6662549401859056e-07,8
newton,"[-1, -1]",[1.01963348 1.01963348],0.0003854734591246119,1000
conjugate_dirs,"[-1, -2]",[1. 1.],1.5954711808094964e-28,2
conjugate_grad,"[-1, -2]",[0.98651704 0.98638037],0.000183658082544358,9
newton,"[-1, -2]",[1.02461605 0.02471728],99.98036083407918,1000
conjugate_dirs,"[1.95, -2]",[1. 1.],5.566399762465765e-29,2
conjugate_grad,"[1.95, -2]",[1.01911513 1.0192923 ],0.00036852704888740124,5
newton,"[1.95, -2]",[ 1.96964153 -1.98035459],1561.1871401338794,1000
