method,start,result x,result f(x),iterations
conjugate_grad,"[0, 0]",[1. 1.],2.2570704989884645e-16,22
newton,"[0, 0]",[1. 1.],1.1168484060573177e-19,9
conjugate_grad,"[10, 10]",[1. 1.],3.192558626170139e-16,35
newton,"[10, 10]",[1.         0.99999999],3.401405804802837e-17,28
conjugate_grad,"[-1, -2]",[1. 1.],7.118801872585616e-18,59
newton,"[-1, -2]",[0.99999993 0.99999987],9.229875648479202e-15,14
conjugate_grad,"[-3, 3]",[1. 1.],4.8604382054398646e-18,69
newton,"[-3, 3]",[1. 1.],6.051659698394087e-19,21
conjugate_grad,"[-12, -11]",[0.99996447 0.99992296],4.839444520972246e-09,100
newton,"[-12, -11]",[1. 1.],1.339796776666393e-22,35
conjugate_grad,"[2, 2]",[0.99998871 0.99997523],6.092634845015793e-10,22
newton,"[2, 2]",[0.99999998 0.99999996],7.004067723838306e-16,10
